CODE,NAME,PERCENTAGE,NULL
E06000001,Hartlepool,53.4,
E06000002,Middlesbrough,46.1,
E06000003,Redcar and Cleveland,54.3,
E06000004,Stockton-on-Tees,59.3,
E06000005,Darlington,52.5,
E06000006,Halton,56.9,
E06000007,Warrington,58.5,
E06000008,Blackburn with Darwen,56.9,
E06000009,Blackpool,42.4,
E06000010,City of Kingston-Upon-Hull,46.7,
E06000011,East Riding of Yorkshire,56.3,
E06000012,North East Lincolnshire,52.1,
E06000013,North Lincolnshire,57.6,
E06000014,York,63.7,
E06000015,Derby,47.6,
E06000016,Leicester,50.4,
E06000017,Rutland,67.2,
E06000018,Nottingham,42.4,
E06000019,Herefordshire,57.5,
E06000020,Telford and Wrekin,53.7,
E06000021,Stoke-on-Trent,48.2,
E06000022,Bath and North East Somerset,62.9,
E06000023,City of Bristol,54,
E06000024,North Somerset,58.8,
E06000025,South Gloucestershire,52.9,
E06000026,Plymouth,51.8,
E06000027,Torbay,57.3,
E06000028,Bournemouth,60.3,
E06000029,Poole,63.1,
E06000030,Swindon,53,
E06000031,Peterborough,48.5,
E06000032,Luton,53,
E06000033,Southend-on-Sea,64.7,
E06000034,Thurrock,52.9,
E06000035,Medway,57.8,
E06000036,Bracknell Forest,58.2,
E06000037,West Berkshire,62.4,
E06000038,Reading,57.5,
E06000039,Slough,67.9,
E06000040,Windsor and Maidenhead,64.6,
E06000041,Wokingham,67.8,
E06000042,Milton Keynes,52,
E06000043,Brighton and Hove,61,
E06000044,Portsmouth,50.7,
E06000045,Southampton,50.6,
E06000046,Isle of Wight,47.6,
E06000047,Durham,55.1,
E06000048,Northumberland,56.9,
E06000049,Cheshire East,63.3,
E06000050,Cheshire West and Chester,58.3,
E06000051,Shropshire,56.5,
E06000052,Cornwall,56.8,
E06000053,Isles of Scilly,73.7,
E06000054,Wiltshire,60.5,
E06000055,Bedford,52.4,
E06000056,Central Bedfordshire,58.3,
E08000001,Bolton,56.8,
E08000002,Bury,55.3,
E08000003,Manchester,47.5,
E08000004,Oldham,50.5,
E08000005,Rochdale,48.4,
E08000006,Salford,48,
E08000007,Stockport,58.3,
E08000008,Tameside,57.3,
E08000009,Trafford,70.7,
E08000010,Wigan,57.6,
E08000011,Knowsley,37.4,
E08000012,Liverpool,48.6,
E08000013,St. Helens,54.7,
E08000014,Sefton,54.9,
E08000015,Wirral,61.8,
E08000016,Barnsley,49.4,
E08000017,Doncaster,50,
E08000018,Rotherham,55.2,
E08000019,Sheffield,54,
E08000020,Gateshead,58.1,
E08000021,Newcastle upon Tyne,55.7,
E08000022,North Tyneside,62,
E08000023,South Tyneside,57.7,
E08000024,Sunderland,50.3,
E08000025,Birmingham,54.3,
E08000026,Coventry,51,
E08000027,Dudley,53,
E08000028,Sandwell,46.9,
E08000029,Solihull,60.8,
E08000030,Walsall,50.8,
E08000031,Wolverhampton,51.6,
E08000032,Bradford,45.5,
E08000033,Calderdale,61.8,
E08000034,Kirklees,56.8,
E08000035,Leeds,55.5,
E08000036,Wakefield,59.8,
E09000001,City of London,-1,
E09000002,Barking and Dagenham,54,
E09000003,Barnet,70.1,
E09000004,Bexley,55,
E09000005,Brent,60,
E09000006,Bromley,68,
E09000007,Camden,56.4,
E09000008,Croydon,59.6,
E09000009,Ealing,62.1,
E09000010,Enfield,54.5,
E09000011,Greenwich,57.7,
E09000012,Hackney,60.4,
E09000013,Hammersmith and Fulham,62.6,
E09000014,Haringey,54.6,
E09000015,Harrow,60.5,
E09000016,Havering,57.7,
E09000017,Hillingdon,57.5,
E09000018,Hounslow,65.2,
E09000019,Islington,57.9,
E09000020,Kensington and Chelsea,67.2,
E09000021,Kingston upon Thames,73.2,
E09000022,Lambeth,56.5,
E09000023,Lewisham,51.9,
E09000024,Merton,60,
E09000025,Newham,59.4,
E09000026,Redbridge,63.4,
E09000027,Richmond upon Thames,64.7,
E09000028,Southwark,64.3,
E09000029,Sutton,70.4,
E09000030,Tower Hamlets,64.6,
E09000031,Waltham Forest,57.4,
E09000032,Wandsworth,58.2,
E09000033,Westminster,67.5,
E10000002,Buckinghamshire,68.9,
E10000003,Cambridgeshire,58.8,
E10000006,Cumbria,56.8,
E10000007,Derbyshire,55.9,
E10000008,Devon,58.1,
E10000009,Dorset,58.3,
E10000011,East Sussex,56.3,
E10000012,Essex,58.4,
E10000013,Gloucestershire,60.9,
E10000014,Hampshire,59.7,
E10000015,Hertfordshire,65.1,
E10000016,Kent,57.3,
E10000017,Lancashire,58.8,
E10000018,Leicestershire,56.8,
E10000019,Lincolnshire,56.1,
E10000020,Norfolk,54.9,
E10000021,Northamptonshire,52.3,
E10000023,North Yorkshire,62.4,
E10000024,Nottinghamshire,57,
E10000025,Oxfordshire,59.7,
E10000027,Somerset,58.6,
E10000028,Staffordshire,56.1,
E10000029,Suffolk,54.5,
E10000030,Surrey,64.7,
E10000031,Warwickshire,60.9,
E10000032,West Sussex,60.3,
E10000034,Worcestershire,60.7,
